      47,       32,       62,       1407.61,       51.4700
      78,       63,       93,       2016.71,       60.0700
     109,       94,      124,       3027.82,       73.2900
     140,      125,      155,       3893.83,       87.3500
     171,      156,      186,       4867.41,       97.9400
     202,      187,      217,       5524.53,       101.050
     233,      218,      248,       5703.16,       95.1400
     264,      249,      279,       4953.54,       81.7200
     295,      280,      310,       4116.06,       64.1400
     326,      311,      341,       3123.86,       46.6000
     357,      342,      372,       2282.71,       32.8500
     388,      373,      403,       1836.20,       24.7500
     419,      404,      434,       1691.91,       22.3700
     450,      435,      465,       1922.19,       23.9600
     481,      466,      496,       2229.41,       26.9000
     512,      497,      527,       2506.61,       28.8900
     543,      528,      558,       2484.24,       28.7800
     574,      559,      589,       2396.51,       26.6100
     605,      590,      620,       2124.69,       23.3900
     636,      621,      651,       1863.84,       20.4400
     667,      652,      682,       1792.35,       18.8600
     698,      683,      713,       1819.88,       19.0500
     729,      714,      744,       1962.25,       20.6100
     760,      745,      775,       2237.31,       22.6000
     791,      776,      806,       2345.97,       23.9800
     822,      807,      837,       2464.71,       24.0000
     853,      838,      868,       2341.59,       22.4600
     884,      869,      899,       2030.01,       19.7000
     915,      900,      930,       1682.61,       16.4200
     946,      931,      961,       1354.41,       13.4400
     977,      962,      992,       1113.53,       11.3600
    1008,      993,     1023,       1017.97,       10.4600
    1039,     1024,     1054,       1034.38,       10.5800
    1070,     1055,     1085,       1118.05,       11.2300
    1101,     1086,     1116,       1170.97,       11.8600
    1132,     1117,     1147,       1204.04,       12.0400
    1163,     1148,     1178,       1140.70,       11.5900
    1194,     1179,     1209,       1042.69,       10.7600
    1225,     1210,     1240,       907.400,       9.74000
    1256,     1241,     1271,       793.960,       8.58000
    1287,     1272,     1302,       732.750,       7.88000
    1318,     1303,     1333,       689.450,       7.70000
    1349,     1334,     1364,       746.750,       7.92000
    1380,     1365,     1395,       749.620,       8.29000
    1411,     1396,     1426,       806.230,       8.54000
    1442,     1427,     1457,       768.340,       8.49000
    1473,     1458,     1488,       722.680,       8.09000
    1504,     1489,     1519,       658.830,       7.44000
    1535,     1520,     1550,       554.480,       6.70000
    1566,     1551,     1581,       477.660,       6.06000
    1597,     1582,     1612,       420.020,       5.65000
    1628,     1613,     1643,       387.210,       5.51000
    1659,     1644,     1674,       382.850,       5.59000
    1690,     1675,     1705,       373.950,       5.79000
    1721,     1706,     1736,       374.450,       6.01000
    1752,     1737,     1767,       365.190,       6.17000
    1783,     1768,     1798,       342.350,       6.24000
    1814,     1799,     1829,       319.730,       6.25000
    1845,     1830,     1860,       278.340,       6.25000
    1876,     1861,     1891,       250.100,       6.31000
    1907,     1892,     1922,       239.600,       6.47000
    1938,     1923,     1953,       215.630,       6.75000
    1969,     1954,     1984,       226.130,       7.13000
    2000,     1985,     2015,       232.560,       7.66000
    2031,     2016,     2046,       213.070,       8.21000
    2062,     2047,     2077,       218.140,       8.70000
    2093,     2078,     2108,       208.670,       9.19000
    2124,     2109,     2139,       191.160,       9.70000
    2155,     2140,     2170,       179.330,       10.2500
    2186,     2171,     2201,       162.270,       10.8800
    2220,     2202,     2238,       127.880,       10.6300
    2263,     2239,     2287,       103.980,       10.1200
    2323,     2288,     2358,       124.550,       9.67000
    2419,     2359,     2479,       103.100,       9.40000
