2.379601073788205667e+02 4.674173141680228127e+00 2.697596072414228274e+00
4.090838996694785124e+02 4.689040099492672198e+00 2.463319569656619024e+00
5.592902348547720521e+02 3.870152525238154340e+00 1.789897415337463826e+00
6.695096051703376361e+02 1.077477515387852236e+01 4.802127816860433995e+00
8.449791057260155185e+02 8.713121153377869632e+00 4.701522843359839499e+00
1.010722703160365995e+03 7.727946971270398535e+00 3.686657922122776654e+00
1.163992014895314242e+03 8.277568938175818403e+00 4.701968979079538258e+00
1.302999744716952819e+03 1.014612759768260730e+01 5.926254089163194294e+00
1.466263361283897211e+03 1.024922818928916968e+01 4.996998848104794888e+00
1.632990125162139975e+03 8.688840943731065636e+00 4.959721751236884302e+00
1.785714731755724870e+03 9.738132234122303998e+00 4.979242463661648799e+00
1.932210470443260647e+03 1.115487925976799488e+01 5.481895799942549274e+00
2.091510600862633964e+03 1.072049931412220758e+01 6.126354134898519987e+00
2.260428849690826610e+03 8.401359071634942666e+00 5.341253962869359384e+00
2.411299729429105355e+03 8.838367015601306775e+00 5.510163500773614942e+00
2.563484930874589736e+03 1.162732776888287844e+01 6.598981784641637205e+00
2.719358996282566295e+03 1.147731399433951083e+01 6.359534748766691337e+00
2.896292266430550626e+03 9.706577036047292495e+00 5.530913636310287984e+00
3.045425561969184400e+03 9.877085778350647161e+00 5.590832750069239410e+00
3.198572567782940951e+03 1.233056629663724379e+01 5.483208329160788708e+00
3.347189317512293201e+03 1.015413759963985285e+01 6.645795266604181961e+00
3.538674085772662238e+03 1.065027210750940867e+01 5.286481938212091336e+00
3.683783619221931076e+03 1.081979925982977875e+01 5.112533900728976732e+00
3.839927497155671517e+03 1.284674531843347722e+01 8.888697493379822845e+00
3.982754863199129886e+03 1.272824387593436768e+01 7.773806649526250112e+00
