#scalar perturbations for mode k = 3.115658154372e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.259451100263e+00       4.881827529702e-06      -1.207727168415e+00       6.582990772259e-04       1.256361268914e-08       3.140903172285e-08       1.050691111253e-14       6.281806344570e-09      -9.057953763111e-01       6.582990772263e-04       6.016784514189e-01       6.983164532677e-01      -1.207727167748e+00       6.581528706418e-04       1.985960996031e-04      -9.057953773383e-01       6.585992735973e-04 
       2.260107410720e+00       4.883251454442e-06      -1.207729428635e+00       6.584900476681e-04       1.257458913980e-08       3.143647284950e-08       1.052222621727e-14       6.287294569901e-09      -9.057970714766e-01       6.584900476686e-04       6.016783573364e-01       6.983160322496e-01      -1.207729427840e+00       6.583437133943e-04       1.987112913371e-04      -9.057970727009e-01       6.587905052185e-04 
       2.260763721177e+00       4.884675382599e-06      -1.207731689283e+00       6.586810180193e-04       1.258557199736e-08       3.146392999341e-08       1.053755920348e-14       6.292785998682e-09      -9.057987669624e-01       6.586810180199e-04       6.016782631594e-01       6.983156111665e-01      -1.207731688360e+00       6.585345559813e-04       1.988265164503e-04      -9.057987683841e-01       6.589817368999e-04 
       2.263390059131e+00       4.890373507575e-06      -1.207740736713e+00       6.594452155991e-04       1.262958588978e-08       3.157396472444e-08       1.059909599025e-14       6.314792944889e-09      -9.058055525351e-01       6.594452156000e-04       6.016778860445e-01       6.983139262831e-01      -1.207740735277e+00       6.592982415463e-04       1.992879433858e-04      -9.058055547479e-01       6.597469817492e-04 
       2.266016397086e+00       4.896071687269e-06      -1.207749780180e+00       6.602094054519e-04       1.267370240886e-08       3.168425602216e-08       1.066092027737e-14       6.336851204431e-09      -9.058123351348e-01       6.602094054531e-04       6.016775097599e-01       6.983122430597e-01      -1.207749778227e+00       6.600619181919e-04       1.997499048277e-04      -9.058123381415e-01       6.605122212941e-04 
       2.268642735040e+00       4.901769921684e-06      -1.207758815656e+00       6.609735852208e-04       1.271792162937e-08       3.179480407343e-08       1.072303303526e-14       6.358960814686e-09      -9.058191117418e-01       6.609735852224e-04       6.016771351818e-01       6.983105625029e-01      -1.207758813186e+00       6.608255835597e-04       2.002124007682e-04      -9.058191155452e-01       6.612774531804e-04 
       2.271269072994e+00       4.907468210817e-06      -1.207767843498e+00       6.617377550865e-04       1.276224367458e-08       3.190560918646e-08       1.078543527736e-14       6.381121837292e-09      -9.058258826232e-01       6.617377550884e-04       6.016767622381e-01       6.983088845236e-01      -1.207767840509e+00       6.615892378289e-04       2.006754311983e-04      -9.058258872260e-01       6.620426775916e-04 
       2.273895410948e+00       4.913166554670e-06      -1.207776868503e+00       6.625019178149e-04       1.280666871780e-08       3.201667179449e-08       1.084812806186e-14       6.403334358898e-09      -9.058326513772e-01       6.625019178172e-04       6.016763898944e-01       6.983072079224e-01      -1.207776864993e+00       6.623528837642e-04       2.011389961102e-04      -9.058326567822e-01       6.628078972965e-04 
       2.276521748902e+00       4.918864953242e-06      -1.207785899031e+00       6.632660782587e-04       1.285119697323e-08       3.212799243308e-08       1.091111248450e-14       6.425598486616e-09      -9.058394242734e-01       6.632660782612e-04       6.016760163438e-01       6.983055306094e-01      -1.207785894998e+00       6.631165262167e-04       2.016030954987e-04      -9.058394304835e-01       6.635731171503e-04 
       2.283900390444e+00       4.934874777646e-06      -1.207811269768e+00       6.654129413175e-04       1.297685119319e-08       3.244212798298e-08       1.108963501617e-14       6.488425596596e-09      -9.058584523262e-01       6.654129413211e-04       6.016749669122e-01       6.983008218996e-01      -1.207811264257e+00       6.652619275665e-04       2.029098331299e-04      -9.058584608128e-01       6.657229696469e-04 
       2.291279031985e+00       4.950885033959e-06      -1.207836598313e+00       6.675597358989e-04       1.310332272438e-08       3.275830681095e-08       1.127048940271e-14       6.551661362190e-09      -9.058774487346e-01       6.675597359035e-04       6.016739266466e-01       6.982961290180e-01      -1.207836591309e+00       6.674072509400e-04       2.042207893032e-04      -9.058774595199e-01       6.678727729589e-04 
       2.298657673527e+00       4.966895722182e-06      -1.207861941147e+00       6.697064947287e-04       1.323061487448e-08       3.307653718619e-08       1.145369902692e-14       6.615307437239e-09      -9.058964558601e-01       6.697064947342e-04       6.016728833961e-01       6.982914378442e-01      -1.207861932635e+00       6.695525290319e-04       2.055359638882e-04      -9.058964689663e-01       6.700225598738e-04 
       2.306036315068e+00       4.982906842314e-06      -1.207887241031e+00       6.718531838437e-04       1.335872964181e-08       3.339682410451e-08       1.163928629443e-14       6.679364820903e-09      -9.059154307734e-01       6.718531838503e-04       6.016718496448e-01       6.982867626878e-01      -1.207887230997e+00       6.716977278482e-04       2.068553567324e-04      -9.059154462229e-01       6.721722964901e-04 
       2.313414956609e+00       4.998918394356e-06      -1.207912555333e+00       6.739998367092e-04       1.348767035699e-08       3.371917589248e-08       1.182727491405e-14       6.743835178495e-09      -9.059344164996e-01       6.739998367168e-04       6.016708130508e-01       6.982820892069e-01      -1.207912543762e+00       6.738428808230e-04       2.081789676946e-04      -9.059344343150e-01       6.743220163345e-04 
       2.320793598151e+00       5.014930378307e-06      -1.207937832808e+00       6.761464227019e-04       1.361743907707e-08       3.404359769267e-08       1.201768763587e-14       6.808719538535e-09      -9.059533746057e-01       6.761464227105e-04       6.016697847936e-01       6.982774302124e-01      -1.207937819685e+00       6.759879573022e-04       2.095067966316e-04      -9.059533948098e-01       6.764716888455e-04 
